name,pretrained_model,datetime,val_loss,test_acc,test_corrects,test_total,train_acc,train_corrects,train_total,val_acc,val_corrects,val_total,n_sampling,img_size,batch_size,epochs,patience,dense_layers,dense_layer_size,dropout
backside_14Dec2021-0015_75.80%.h5,mobilenetv2,14Dec2021-0015,0.358922184,0.758002579,2368,3124,0.94,1128,1200,0.927374302,166,179,300,224,16,1,7,1,32,0.2
backside_14Dec2021-0020_93.79%.h5,mobilenetv2,14Dec2021-0020,0.060132068,0.937900126,2930,3124,0.996666667,1196,1200,0.972067039,174,179,300,224,16,4,7,1,32,0.2
backside_14Dec2021-0027_93.02%.h5,mobilenetv2,14Dec2021-0027,0.250978619,0.930217683,2906,3124,0.995,1194,1200,0.966480447,173,179,300,224,16,7,10,1,32,0.2
backside_14Dec2021-0034_95.68%.h5,mobilenetv2,14Dec2021-0034,0.051544845,0.956786156,2989,3124,0.983333333,1180,1200,0.988826816,177,179,300,224,8,6,10,1,32,0.2
backside_14Dec2021-0041_95.01%.h5,mobilenetv2,14Dec2021-0041,0.151463747,0.950064003,2968,3124,0.998333333,1198,1200,0.966480447,173,179,300,224,8,11,10,1,32,0.2
backside_15Dec2021-1402_95.20%.h5,mobilenetv2,15Dec2021-1402,0.069791526,0.951984644,2974,3124,0.985833333,1183,1200,0.977653631,175,179,300,224,8,10,10,1,16,0.2
backside_15Dec2021-1409_92.83%.h5,mobilenetv2,15Dec2021-1409,0.54403621,0.928297043,2900,3124,0.765833333,919,1200,0.944134078,169,179,300,224,8,7,10,1,16,0.2
backside_15Dec2021-1414_93.15%.h5,mobilenetv2,15Dec2021-1414,0.614690781,0.931498051,2910,3124,0.97,1164,1200,0.977653631,175,179,300,224,8,31,10,1,16,0.2
backside_15Dec2021-1424_91.45%.h5,mobilenetv2,15Dec2021-1424,0.154101253,0.914532661,2857,3124,0.984166667,1181,1200,0.972067039,174,179,300,224,8,14,10,1,16,0.2
backside_15Dec2021-1430_95.84%.h5,mobilenetv2,15Dec2021-1430,0.456941158,0.95838666,2994,3124,0.9475,1137,1200,0.955307263,171,179,300,224,8,18,10,1,16,0.2
backside_20Dec2021-0140_96.77%.h5,mobilenetv2,20Dec2021-0140,0.080869608,0.967669666,3023,3124,0.985833333,1183,1200,0.977653631,175,179,300,224,8,25,10,1,16,0.2
backside_20Dec2021-1352_80.22%.h5,mobilenetv2,20Dec2021-1352,0.625420749,0.802176714,2506,3124,0.790833333,949,1200,0.932960894,167,179,300,224,8,23,10,1,16,0.2
backside_20Dec2021-1516_94.30%.h5,mobilenetv2,20Dec2021-1516,0.095195629,0.943021774,2946,3124,0.994166667,1193,1200,0.983240223,176,179,300,224,8,11,5,1,16,0.2
