name,pretrained_model,datetime,val_loss,test_acc,test_corrects,test_total,train_acc,train_corrects,train_total,val_acc,val_corrects,val_total,n_sampling,img_size,batch_size,epochs,patience,dense_layers,dense_layer_size,dropout
edgenormal_14Dec2021-0100_97.96%.h5,mobilenetv2,14Dec2021-0100,0.001258158,0.979572475,6186,6315,1.0,480,480,1.0,65,65,300,224,8,7,10,1,32,0.2
edgenormal_14Dec2021-0107_98.83%.h5,mobilenetv2,14Dec2021-0107,2.23e-05,0.988281846,6241,6315,1.0,480,480,1.0,65,65,300,224,8,15,10,1,32,0.2
edgenormal_14Dec2021-0112_98.26%.h5,mobilenetv2,14Dec2021-0112,5.5e-09,0.982581139,6205,6315,1.0,480,480,1.0,65,65,300,224,8,5,10,1,32,0.2
edgenormal_20Dec2021-1654_97.39%.h5,mobilenetv2,20Dec2021-1654,0.007290169,0.973871708,6150,6315,0.997916667,479,480,1.0,65,65,300,224,8,6,5,1,16,0.2
edgenormal_20Dec2021-1721_97.15%.h5,mobilenetv2,20Dec2021-1721,0.037817821,0.971496463,6135,6315,0.995833333,478,480,0.984615385,64,65,300,224,8,10,5,1,16,0.2
edgenormal_23Dec2021-1934_98.12%.h5,mobilenetv2,23Dec2021-1934,0.0061383033171296,0.9811559915542604,6196,6315,0.975,468,480,1.0,65,65,300,224,8,7,5,1,16,0.2
edgenormal_23Dec2021-1937_98.48%.h5,mobilenetv2,23Dec2021-1937,0.0006932110409252,0.9847980737686156,6219,6315,1.0,480,480,1.0,65,65,300,224,8,4,5,1,16,0.2
edgenormal_23Dec2021-1940_95.09%.h5,mobilenetv2,23Dec2021-1940,0.0136312590911984,0.95091050863266,6005,6315,1.0,480,480,1.0,65,65,300,224,8,5,5,1,16,0.2
edgenormal_23Dec2021-1942_98.04%.h5,mobilenetv2,23Dec2021-1942,0.0434146039187908,0.980364203453064,6191,6315,0.9979166666666668,479,480,0.9846153846153848,64,65,300,224,8,3,5,1,16,0.2
edgenormal_23Dec2021-1945_97.70%.h5,mobilenetv2,23Dec2021-1945,0.2197087556123733,0.9770388007164,6170,6315,0.9958333333333332,478,480,0.953846153846154,62,65,300,224,8,3,5,1,16,0.2
edgenormal_23Dec2021-1947_99.11%.h5,mobilenetv2,23Dec2021-1947,7.627551440236857e-06,0.9911321997642516,6259,6315,1.0,480,480,1.0,65,65,300,224,8,3,5,1,16,0.2
edgenormal_23Dec2021-1951_98.40%.h5,mobilenetv2,23Dec2021-1951,0.001527325133793,0.9840063452720642,6214,6315,0.9975,798,800,1.0,105,105,500,224,8,14,5,1,16,0.2
edgenormal_23Dec2021-1955_98.54%.h5,mobilenetv2,23Dec2021-1955,2.177346141252201e-05,0.9854314923286438,6223,6315,0.9975,798,800,1.0,105,105,500,224,8,7,5,1,16,0.2
edgenormal_23Dec2021-1958_97.88%.h5,mobilenetv2,23Dec2021-1958,0.0202172119170427,0.9787806868553162,6181,6315,0.97,776,800,1.0,105,105,500,224,8,3,5,1,16,0.2
edgenormal_23Dec2021-2002_94.22%.h5,mobilenetv2,23Dec2021-2002,0.0101013043895363,0.9422011375427246,5950,6315,0.995,796,800,0.9904761904761904,104,105,500,224,8,2,5,1,16,0.2
edgenormal_23Dec2021-2004_99.26%.h5,mobilenetv2,23Dec2021-2004,0.018698394298553467,0.9925574064254761,6268,6315,1.0,800,800,0.9904761904761905,104,105,500,224,8,5,5,1,16,0.2
